Verb,FrameNo,SubFrameNo,Sem,ConstrIndex,Constr,ConstrName,Example,ConstrPattern,Synopsis,Features,FrameNetFrame,MatchEvaluation,Suggestion,Other links
алкать,1,1,воля,11538,алкать 1.1,1.1_алкать познания,Ермила с Кирилой не алкали сказочных чудес,Snom V Sgen,1,,Desiring,ExactMatch,,
аплодировать,1,1,физическое воздействие/звук,1001,аплодировать 1.1,1.1_Зрители долго аплодировали.,"Зрители долго аплодировали. Зал бурно [горячо, громко] аплодировал.",Snom V,,СВ нет,Judgment,ExactMatch,,
владеть,3,1,посессивный,1630,владеть 3.1,3.1_Людьми владеют страсти.,"Людьми владеют страсти. Им владел страх. Одна мысль владела мной: успеть, успеть!",Snom V Sins,3,СВ нет,Being_in_control,ExactMatch,,
арестовать,1,1,,1007,арестовать 1.1,1.1_Полиция арестовала преступника.,"Полиция арестовала группу профсоюзных активистов [революционно настроенных студентов, руководителя забастовки]. Преступника арестовали на борту самолета. Нарушитель был арестован при попытке перейти границу. Стали арестовывать всех подозрительных лиц, независимо от возраста и пола.",Snom V Sacc,1,НВ <редк.> арестовывать,Arrest,ExactMatch,,
ассоциировать,2,1,,11711,ассоциировать 2.1,2.1_Ионы бария ассоциируют с ионами хлора.,Ионы бария ассоциируют с ионами хлора.,Snom V с + Sins,,,Relating_concepts,ExactMatch,,
баловать,3,1,социальное взаимодействие,11837,баловать 3.1,"3.1_Артём, не балуй!",Ты там не балуй!,Snom V,3,,Conduct,ExactMatch,,
беседовать,1,1,речь,1071,беседовать 1.1,1.1_Гости беседовали.,"(Расположившись в холодке,) гости [мужчины] тихо беседовали. Они часто [охотно, дружески, откровенно] беседовали.",Snom V,,СВ побеседовать,Chatting,ExactMatch,,
беспокоиться,1,1,эмоция,1088,беспокоиться 1.1,"1.1_Мальчик долго не возвращался, и мать начала беспокоиться.","Мальчик долго не возвращался, и мать начала беспокоиться. Не нужно беспокоиться, все будет прекрасно.",Snom V,1,СВ обеспокоиться,Emotion_active,ExactMatch,,
бить,1,1,физическое воздействие,1098,бить 1.1,"1.1_Он бил коротко и резко, справа налево.","Он бил коротко и резко, справа налево. Теперь уж не бьют так, как бивали! (Горький).",Snom V,1,СВ побить,Cause_harm,ExactMatch,,
бить,2,1,физическое воздействие,1105,бить 2.1,2.1_Мы не раз били незваных гостей.,Мы не раз били незваных гостей [агрессоров]. Врага надо бить его же оружием. Генерал был побит в честном бою.,Snom V Sacc,2,СВ побить,Cause_harm,ExactMatch,,
бить,4,1,физическое воздействие,1108,бить 4.1,4.1_Он напивается и начинает бить посуду.,Он напивается и начинает бить посуду. Ребята били во дворе стекло и порезались.,Snom V Sacc,4,СВ нет,Cause_to_fragment,ExactMatch,,
бить,6,1,физическое воздействие,1112,бить 6.1,6.1_Хозяин бил кулаком по столу.,"Хозяин бил кулаком по столу. Кто-то бил палкой по ставням. Где-то, на большой высоте, по колонне начали бить кувалдой (Антонов). Кони били копытами по булыжнику четко и дробно. Плясун бил каблуками по полу.",Snom V Sins по + Sdat,6,СВ нет,Cause_impact,ExactMatch,,
бить,9,1,физическое воздействие,1122,бить 9.1,9.1_Нападающий бьет по воротам.,Нападающий бьет по воротам.,Snom V по + Sdat,9. <спорт.>,СВ пробить,Hit_target,ExactMatch,,
бить,15,1,физическое воздействие,1136,бить 15.1,15.1_Ружье бьет точно.,Ружье бьет точно [далеко].,Snom V ADV,15,СВ нет,Hit_or_miss,ExactMatch,,
бомбардировать,1,1,физическое воздействие,1220,бомбардировать 1.1,1.1_Звено штурмовиков бомбардировало госпиталь.,Звено штурмовиков бомбардировало госпиталь. Вражеская авиация бомбардировала столицу. Два линкора бомбардировали мятежный форт.,Snom V Sacc,1,СВ нет,Attack,ExactMatch,,
бояться,2,1,эмоция,1244,бояться 2.1,2.1_Она боялась за сына.,Она боялась за сына [за здоровье дочери]. Он боялся за свою жизнь. Некоторые люди боятся за каждый свой шаг.,Snom V за + Sacc,2,СВ нет,Fear,ExactMatch,,
бояться,3,1,эмоция,1245,бояться 3.1,"3.1_(Я) боюсь, что вы правы.","(Я) боюсь, что вы правы.",Snom V что + CL,3,СВ нет,Fear,ExactMatch,,
занять,6,1,посессивный,3612,занять 6.1,6.1_Ничто ее не занимает.,Ничто ее не занимает. Игрушки больше не занимали ребенка. Его перестала занимать мысль о кривизне пространства. Старика занимали государственные вопросы. События последних дней занимали все его мысли [все его душевные силы].,Snom V Sacc,6. <преим. НВ>,НВ занимать; преим. НВ,Cause_to_experience,ExactMatch,,
захватить,3,1,посессивный,3745,захватить 3.1,3.1_Противник захватил промышленные районы страны.,"Противник захватил промышленные районы страны [выходы к морю, правый берег, село, порт, город]. Наступая, дивизия захватила много боевой техники [танков противника, оружия]. Разведчики захватили языка [пленного]. Крестьяне захватывают помещичьи земли [господские дома].",Snom V Sacc,3,НВ захватывать,Conquering,ExactMatch,,
браться,1,1,,1308,браться 1.1,1.1_Старик берется за бороду.,"Старик берется за бороду. Не берись за дверь, она окрашена. Дети взялись за руки.",Snom V за + Sacc,1. <объект закреплен или стационарен>,СВ взяться,Manipulation,ExactMatch,,
браться,2,1,,1310,браться 2.1,2.1_Пора браться за учение.,"Пора браться за учение [за работу, за дело]. После долгого перерыва он снова взялся за диссертацию [за книгу, за картину, за оперу]. Я боюсь, когда вы беретесь за весла [за руль, за перо]. Народ взялся за оружие.",Snom V за + Sacc,2,СВ взяться,Activity_start,ExactMatch,,
браться,4,1,,1312,браться 4.1,4.1_Не берусь судить.,"Не берусь судить [описывать его пение]. Вы возьметесь разыскать этого человека [выучить меня верховой езде, написать статью]?",Snom V Vinf,4,СВ взяться,Commitment,ExactMatch,,
бриться,1,1,физическое воздействие,1321,бриться 1.1,1.1_Мой отец бреется по вечерам.,"Мой отец бреется по вечерам. Моряк долго брился, потом умывался холодной водой.",Snom V,1,СВ побриться,Grooming,ExactMatch,,
бриться,2,1,физическое воздействие,1323,бриться 2.1,2.1_Вы всегда брились?,"Вы всегда брились? - Нет, в молодости носил бороду.",Snom V,2,СВ нет,Grooming,ExactMatch,,
бунтовать,1,1,,1388,бунтовать 1.1,1.1_Матросы бунтуют.,Матросы бунтуют. К бунтовавшим рабочим присоединились студенты.,Snom V,1,СВ нет,Rebellion,ExactMatch,,
вдохновлять,1,1,,1472,вдохновлять 1.1,1.1_Идеи Руссо до сих пор вдохновляют и профессиональных педагогов и родителей.,Идеи Руссо до сих пор вдохновляют и профессиональных педагогов и родителей. Успех [его пример] вдохновил меня.,Snom V Sacc,,СВ вдохновить,Subjective_influence,ExactMatch,,
вдохновляться,1,1,эмоция,14211,вдохновляться 1.1,1.1_Музыканты вдохновлялись стихами Пушкина.,Музыканты вдохновлялись стихами Пушкина.,Snom V Sins,1,СВ вдохновиться,Subjective_influence,ExactMatch,,
велеть,1,1,речь,1495,велеть 1.1,1.1_Полковник велел вызвать следователя.,Полковник велел вызвать следователя. Мама велит складывать вещи.,Snom V Vinf,1,СВ велеть (прош только СВ),Request,ExactMatch,,
